FlexPDE Version 8.01n/W64  12:40:33 Mar  4 2025  Time:09:38:12 10/19/25  Microsoft Windows [Version 10.0.26100.6584]
Format:
 +   wall | charged | 
 +  clock |   CPU   | ...progress data...).

 +    3:14|    17:03| Step 51 Time= 5.775803 Dt= 0.273143 Nodes=11255 Cells=22262 DOF=100549 RMS ERR= 0.001116 MAX ERR= 0.002696 TIME ERR(V1 )= 0.001230 Lanczos/DInv=(747) MEM(KiB)=272293
 +    3:18|    17:22| Step 52 Time= 6.056005 Dt= 0.280201 Nodes=11301 Cells=22347 DOF=100942 RMS ERR= 0.001084 MAX ERR= 0.002580 TIME ERR(V1 )= 0.001157 Lanczos/DInv=(716) MEM(KiB)=272569
 +    3:22|    17:41| Step 53 Time= 6.344418 Dt= 0.288414 Nodes=11338 Cells=22414 DOF=101254 RMS ERR= 0.001075 MAX ERR= 0.002365 TIME ERR(V1 )= 0.001156 Lanczos/DInv=(686) MEM(KiB)=272789
 +    3:26|    18:02| Step 54 Time= 6.641308 Dt= 0.296889 Nodes=11376 Cells=22481 DOF=101569 RMS ERR= 0.001095 MAX ERR= 0.002466 TIME ERR(V1 )= 0.001025 Lanczos/DInv=(699) MEM(KiB)=273009
 +    3:29|    18:20| Step 55 Time= 6.948997 Dt= 0.307689 Nodes=11424 Cells=22565 DOF=101965 RMS ERR= 0.001104 MAX ERR= 0.002529 TIME ERR(V1 )= 0.001112 Lanczos/DInv=(659) MEM(KiB)=273288
 +    3:33|    18:38| Step 56 Time= 7.266415 Dt= 0.317418 Nodes=11478 Cells=22660 DOF=102412 RMS ERR= 0.001059 MAX ERR= 0.002326 TIME ERR(V1 )= 0.001005 Lanczos/DInv=(655) MEM(KiB)=273596
 +    3:37|    18:58| Step 57 Time= 7.595753 Dt= 0.329337 Nodes=11513 Cells=22722 DOF=102703 RMS ERR= 0.001057 MAX ERR= 0.002481 TIME ERR(V1 )= 0.001007 Lanczos/DInv=(718) MEM(KiB)=273798
 +    3:40|    19:16| Step 58 Time= 7.937407 Dt= 0.341654 Nodes=11548 Cells=22786 DOF=103000 RMS ERR= 0.001051 MAX ERR= 0.002232 TIME ERR(V1 )= 9.811e-4 Lanczos/DInv=(618) MEM(KiB)=274006
 +    3:43|    19:33| Step 59 Time= 8.292378 Dt= 0.354971 Nodes=11571 Cells=22831 DOF=103204 RMS ERR= 0.001048 MAX ERR= 0.002380 TIME ERR(V1 )= 8.784e-4 Lanczos/DInv=(583) MEM(KiB)=274149
 +    3:47|    19:50| Step 60 Time= 8.663563 Dt= 0.371185 Nodes=11587 Cells=22860 DOF=103339 RMS ERR= 0.001056 MAX ERR= 0.002239 TIME ERR(V1 )= 9.039e-4 Lanczos/DInv=(583) MEM(KiB)=274243
